
"ANSI サポート・コマンド","ANSI エスケープなしでテキストをコピー","Ctrl+Insert","コンソール・ビュー内","AnsiConsole.command.copy_without_escapes"
"ナビゲート","クイック・アウトライン","Ctrl+O","JavaScript ソースの編集中","org.eclipse.wst.jsdt.ui.edit.text.java.show.outline"
"ナビゲート","クイック・アウトライン","Ctrl+O","WikiText マークアップ・ソース・コンテキスト","org.eclipse.mylyn.wikitext.ui.quickOutlineCommand"
"ナビゲート","クイック・アウトライン","Ctrl+O","zip ファイルの編集中","zipeditor.command.quickOutline"
"ナビゲート","クイック・アウトライン","Ctrl+O","構造化テキスト・エディターで編集","org.eclipse.wst.sse.ui.quick_outline"
"ナビゲート","クイック階層","Ctrl+T","Java ソースの編集","org.eclipse.jdt.ui.edit.text.java.open.hierarchy"
"ナビゲート","クリップボードから開く","Ctrl+Shift+V","ウィンドウ","org.eclipse.jdt.debug.ui.command.OpenFromClipboard"
"ナビゲート","タスクのリポジトリー検索","Ctrl+Shift+F12","ウィンドウ","org.eclipse.mylyn.tasks.ui.command.searchForTask"
"ナビゲート","タスクの非アクティブ化","Ctrl+Shift+F9","ウィンドウ","org.eclipse.mylyn.tasks.ui.command.deactivateAllTasks"
"ナビゲート","タスクをアクティブにする","Ctrl+F9","ウィンドウ","org.eclipse.mylyn.tasks.ui.command.activateTask"
"ナビゲート","タスクを開く","Ctrl+F12","ウィンドウ","org.eclipse.mylyn.tasks.ui.command.openTask"
"ナビゲート","パンくずリストで表示","Alt+Shift+B","Java ソースの編集","org.eclipse.jdt.ui.edit.text.java.gotoBreadcrumb"
"ナビゲート","パンくずリストで表示","Alt+Shift+B","エディター・パンくずリスト・ナビゲーション","org.eclipse.jdt.ui.edit.text.java.gotoBreadcrumb"
"ナビゲート","ヒストリーを戻る","Alt+Left","ウィンドウ","org.eclipse.ui.navigate.backwardHistory"
"ナビゲート","ヒストリーを進む","Alt+Right","ウィンドウ","org.eclipse.ui.navigate.forwardHistory"
"ナビゲート","リソースを開く","Ctrl+Shift+R","ウィンドウ","org.eclipse.ui.navigate.openResource"
"ナビゲート","リモートのタスクを開く","Ctrl+Alt+Shift+F12","ウィンドウ","org.eclipse.mylyn.tasks.ui.command.openRemoteTask"
"ナビゲート","一致する文字","Ctrl+Shift+P","構造化テキスト・エディターで編集","org.eclipse.wst.sse.ui.goto.matching.bracket"
"ナビゲート","前のサブ・タブ","Alt+PageUp","ダイアログまたはウィンドウ","org.eclipse.ui.navigate.previousSubTab"
"ナビゲート","前のタブ","Ctrl+PageUp","ダイアログまたはウィンドウ","org.eclipse.ui.navigate.previousTab"
"ナビゲート","前のメンバーへジャンプ","Ctrl+Shift+Up","Java ソースの編集","org.eclipse.jdt.ui.edit.text.java.goto.previous.member"
"ナビゲート","前のメンバーへジャンプ","Ctrl+Shift+Up","JavaScript ソースの編集中","org.eclipse.wst.jsdt.ui.edit.text.java.goto.previous.member"
"ナビゲート","前の未読タスクへジャンプ","Alt+Up","タスク・ビュー","org.eclipse.mylyn.tasks.ui.command.goToPreviousUnread"
"ナビゲート","前の編集ロケーション","Ctrl+Alt+Left","ウィンドウ","org.eclipse.ui.edit.text.gotoLastEditPosition"
"ナビゲート","前の編集ロケーション","Ctrl+Q","ウィンドウ","org.eclipse.ui.edit.text.gotoLastEditPosition"
"ナビゲート","前へ","Ctrl+,","ウィンドウ","org.eclipse.ui.navigate.previous"
"ナビゲート","前ページ","Alt+Shift+F7","ウィンドウ","org.eclipse.ui.part.previousPage"
"ナビゲート","前ページ","Ctrl+Shift+F5","Faces 構成エディター","org.eclipse.ui.part.previousPage"
"ナビゲート","呼び出し階層を開く","Ctrl+Alt+H","JavaScript ビュー","org.eclipse.wst.jsdt.ui.edit.text.java.open.call.hierarchy"
"ナビゲート","呼び出し階層を開く","Ctrl+Alt+H","ウィンドウ","org.eclipse.jdt.ui.edit.text.java.open.call.hierarchy"
"ナビゲート","型を開く","Ctrl+Shift+T","Java ソースの編集","org.eclipse.jdt.ui.navigate.open.type"
"ナビゲート","型を開く","Ctrl+Shift+T","JavaScript ソースの編集中","org.eclipse.wst.jsdt.ui.navigate.open.type"
"ナビゲート","型を開く","Ctrl+Shift+T","ウィンドウ","org.eclipse.jdt.ui.navigate.open.type"
"ナビゲート","型階層を開く","F4","JavaScript ビュー","org.eclipse.wst.jsdt.ui.edit.text.java.open.type.hierarchy"
"ナビゲート","型階層を開く","F4","ウィンドウ","org.eclipse.jdt.ui.edit.text.java.open.type.hierarchy"
"ナビゲート","外部 JSDoc を開く","Shift+F2","JavaScript ビュー","org.eclipse.wst.jsdt.ui.edit.text.java.open.external.javadoc"
"ナビゲート","宣言を開く","F12","JavaScript ビュー","org.eclipse.wst.jsdt.ui.edit.text.java.open.editor"
"ナビゲート","宣言を開く","F12","ウィンドウ","org.eclipse.jdt.ui.edit.text.java.open.editor"
"ナビゲート","対応する括弧にジャンプ","Ctrl+Shift+P","Java ソースの編集","org.eclipse.jdt.ui.edit.text.java.goto.matching.bracket"
"ナビゲート","対応する括弧にジャンプ","Ctrl+Shift+P","JavaScript ソースの編集中","org.eclipse.wst.jsdt.ui.edit.text.java.goto.matching.bracket"
"ナビゲート","指定行へジャンプ","Ctrl+L","テキストの編集","org.eclipse.ui.edit.text.goto.line"
"ナビゲート","構造を開く","Ctrl+F3","Java ソースの編集","org.eclipse.jdt.ui.navigate.java.open.structure"
"ナビゲート","構造を開く","Ctrl+F3","JavaScript ソースの編集中","org.eclipse.wst.jsdt.ui.navigate.java.open.structure"
"ナビゲート","次のサブ・タブ","Alt+PageDown","ダイアログまたはウィンドウ","org.eclipse.ui.navigate.nextSubTab"
"ナビゲート","次のタブ","Ctrl+PageDown","ダイアログまたはウィンドウ","org.eclipse.ui.navigate.nextTab"
"ナビゲート","次のメンバーへジャンプ","Ctrl+Shift+Down","Java ソースの編集","org.eclipse.jdt.ui.edit.text.java.goto.next.member"
"ナビゲート","次のメンバーへジャンプ","Ctrl+Shift+Down","JavaScript ソースの編集中","org.eclipse.wst.jsdt.ui.edit.text.java.goto.next.member"
"ナビゲート","次の未読タスクへジャンプ","Alt+Down","タスク・ビュー","org.eclipse.mylyn.tasks.ui.command.goToNextUnread"
"ナビゲート","次の編集ロケーション","Ctrl+Alt+Right","ウィンドウ","org.eclipse.ui.edit.text.gotoNextEditPosition"
"ナビゲート","次へ","Ctrl+.","ウィンドウ","org.eclipse.ui.navigate.next"
"ナビゲート","次ページ","Alt+F7","ウィンドウ","org.eclipse.ui.part.nextPage"
"ナビゲート","次ページ","Ctrl+F5","Faces 構成エディター","org.eclipse.ui.part.nextPage"
"ナビゲート","添付された Javadoc を開く","Shift+F2","ウィンドウ","org.eclipse.jdt.ui.edit.text.java.open.external.javadoc"
"ナビゲート","表示...","Alt+Shift+W","ウィンドウ","org.eclipse.ui.navigate.showInQuickMenu"
"ナビゲート","階層で型を開く","Ctrl+Shift+H","JavaScript ビュー","org.eclipse.wst.jsdt.ui.navigate.open.type.in.hierarchy"
"ナビゲート","階層で型を開く","Ctrl+Shift+H","ウィンドウ","org.eclipse.jdt.ui.navigate.open.type.in.hierarchy"
"ビュー","ズームアウト","Ctrl+-","ウィンドウ","org.eclipse.gef.zoom_out"
"ビュー","ズームイン","Ctrl+=","ウィンドウ","org.eclipse.gef.zoom_in"
"ビュー","ビューのリフレッシュ (Gradle タスク)","F5","Gradle タスク・ビュー","org.eclipse.buildship.ui.commands.refreshtaskview"
"ビュー","ビューの表示 (Javadoc)","Alt+Shift+Q, J","ウィンドウ","org.eclipse.ui.views.showView"
"ビュー","ビューの表示 (アウトライン)","Alt+Shift+Q, O","ウィンドウ","org.eclipse.ui.views.showView"
"ビュー","ビューの表示 (エラー・ログ)","Alt+Shift+Q, L","ウィンドウ","org.eclipse.ui.views.showView"
"ビュー","ビューの表示 (コンソール)","Alt+Shift+Q, C","ウィンドウ","org.eclipse.ui.views.showView"
"ビュー","ビューの表示 (タスク・リスト)","Alt+Shift+Q, K","ウィンドウ","org.eclipse.ui.views.showView"
"ビュー","ビューの表示 (パッケージ・エクスプローラー)","Alt+Shift+Q, P","ウィンドウ","org.eclipse.ui.views.showView"
"ビュー","ビューの表示 (ヒストリー)","Alt+Shift+Q, Z","ウィンドウ","org.eclipse.ui.views.showView"
"ビュー","ビューの表示 (ブレークポイント)","Alt+Shift+Q, B","ウィンドウ","org.eclipse.ui.views.showView"
"ビュー","ビューの表示 (同期化)","Alt+Shift+Q, Y","ウィンドウ","org.eclipse.ui.views.showView"
"ビュー","ビューの表示 (問題)","Alt+Shift+Q, X","ウィンドウ","org.eclipse.ui.views.showView"
"ビュー","ビューの表示 (変数)","Alt+Shift+Q, V","ウィンドウ","org.eclipse.ui.views.showView"
"ビュー","ビューの表示 (検索)","Alt+Shift+Q, S","ウィンドウ","org.eclipse.ui.views.showView"
"ビュー","ビューの表示 (虎の巻)","Alt+Shift+Q, H","ウィンドウ","org.eclipse.ui.views.showView"
"ビュー","ビューの表示","Alt+Shift+Q, D","ウィンドウ","org.eclipse.ui.views.showView"
"ビュー","ビューの表示","Alt+Shift+Q, Q","ウィンドウ","org.eclipse.ui.views.showView"
"ビュー","ビューの表示","Alt+Shift+Q, T","ウィンドウ","org.eclipse.ui.views.showView"
"ファイル","すべて保存","Ctrl+Shift+S","ウィンドウ","org.eclipse.ui.file.saveAll"
"ファイル","すべて閉じる","Ctrl+Shift+F4","ウィンドウ","org.eclipse.ui.file.closeAll"
"ファイル","すべて閉じる","Ctrl+Shift+W","ウィンドウ","org.eclipse.ui.file.closeAll"
"ファイル","プロパティー","Alt+Enter","ウィンドウ","org.eclipse.ui.file.properties"
"ファイル","リフレッシュ","F5","ウィンドウ","org.eclipse.ui.file.refresh"
"ファイル","保存","Ctrl+S","ウィンドウ","org.eclipse.ui.file.save"
"ファイル","印刷","Ctrl+P","ウィンドウ","org.eclipse.ui.file.print"
"ファイル","名前変更","Ctrl+R, Ctrl+R","汎用コード・エディター内","org.eclipse.ui.edit.rename"
"ファイル","名前変更","F2","ウィンドウ","org.eclipse.ui.edit.rename"
"ファイル","新規","Ctrl+N","ウィンドウ","org.eclipse.ui.newWizard"
"ファイル","新規メニュー","Alt+Shift+N","ウィンドウ","org.eclipse.ui.file.newQuickMenu"
"ファイル","閉じる","Ctrl+F4","ウィンドウ","org.eclipse.ui.file.close"
"ファイル","閉じる","Ctrl+W","ウィンドウ","org.eclipse.ui.file.close"
"フォーカス UI","アクティブ・タスクにフォーカス","Alt+Shift+H","ウィンドウ","org.eclipse.mylyn.context.ui.commands.toggle.focus.active.view"
"フォーカス UI","コンテキスト・クイック・ビューの表示","Ctrl+Alt+Shift+Right","ウィンドウ","org.eclipse.mylyn.context.ui.commands.open.context.dialog"
"フォーカス UI","目印にする","Ctrl+Alt+Shift+Up","ウィンドウ","org.eclipse.mylyn.context.ui.commands.interest.increment"
"フォーカス UI","関心ありにする","Ctrl+Alt+Shift+Down","ウィンドウ","org.eclipse.mylyn.context.ui.commands.interest.decrement"
"プロジェクト","すべてビルド","Ctrl+B","ウィンドウ","org.eclipse.ui.project.buildAll"
"リファクタリング - Java","インライン化","Alt+Shift+I","ウィンドウ","org.eclipse.jdt.ui.edit.text.java.inline"
"リファクタリング - Java","メソッドの抽出","Alt+Shift+M","ウィンドウ","org.eclipse.jdt.ui.edit.text.java.extract.method"
"リファクタリング - Java","メソッド・シグネチャーの変更","Alt+Shift+C","ウィンドウ","org.eclipse.jdt.ui.edit.text.java.modify.method.parameters"
"リファクタリング - Java","リファクタリング・クイック・メニューの表示","Alt+Shift+T","ウィンドウ","org.eclipse.jdt.ui.edit.text.java.refactor.quickMenu"
"リファクタリング - Java","ローカル変数の抽出","Alt+Shift+L","ウィンドウ","org.eclipse.jdt.ui.edit.text.java.extract.local.variable"
"リファクタリング - Java","名前変更 - リファクタリング ","Ctrl+R, Ctrl+R","Java ソースの編集","org.eclipse.jdt.ui.edit.text.java.rename.element"
"リファクタリング - Java","名前変更 - リファクタリング ","Ctrl+R, Ctrl+R","ウィンドウ","org.eclipse.jdt.ui.edit.text.java.rename.element"
"リファクタリング - Java","移動 - リファクタリング ","Alt+Shift+V","ウィンドウ","org.eclipse.jdt.ui.edit.text.java.move.element"
"使用不可のカテゴリー","未定義コマンド","Ctrl+Alt+R","Auto::org.python.pydev.ui.editor.scope","org.python.pydev.debug.setnext"
"使用不可のカテゴリー","未定義コマンド","Ctrl+Alt+Shift+Space","テキストの編集","org.eclipse.recommenders.snipmatch.rcp.commands.completion"
"実行/デバッグ","Ant ビルドのデバッグ","Alt+Shift+D, Q","ウィンドウ","org.eclipse.ant.ui.antShortcut.debug"
"実行/デバッグ","Ant ビルドの実行","Alt+Shift+X, Q","ウィンドウ","org.eclipse.ant.ui.antShortcut.run"
"実行/デバッグ","EOF","Ctrl+Z","I/O コンソール","org.eclipse.debug.ui.commands.eof"
"実行/デバッグ","Eclipse アプリケーションをカバレッジ","Alt+Shift+E, E","ウィンドウ","org.eclipse.eclemma.ui.workbenchShortcut.coverage"
"実行/デバッグ","Gradle テストの実行","Ctrl+Alt+X, G","ウィンドウ","org.eclipse.buildship.ui.shortcut.test.run"
"実行/デバッグ","JUnit テストのデバッグ","Alt+Shift+D, T","ウィンドウ","org.eclipse.jdt.junit.junitShortcut.debug"
"実行/デバッグ","JUnit テストの実行","Alt+Shift+X, T","ウィンドウ","org.eclipse.jdt.junit.junitShortcut.run"
"実行/デバッグ","JUnit テストをカバレッジ","Alt+Shift+E, T","ウィンドウ","org.eclipse.eclemma.ui.junitShortcut.coverage"
"実行/デバッグ","JUnit プラグイン・テストをカバレッジ","Alt+Shift+E, P","ウィンドウ","org.eclipse.eclemma.ui.junitPluginShortcut.coverage"
"実行/デバッグ","Java アプリケーションのデバッグ","F5","ウィンドウ","org.eclipse.jdt.debug.ui.localJavaShortcut.debug"
"実行/デバッグ","Java アプリケーションの実行","Alt+Shift+X, J","ウィンドウ","org.eclipse.jdt.debug.ui.localJavaShortcut.run"
"実行/デバッグ","Java アプリケーションをカバレッジ","Alt+Shift+E, J","ウィンドウ","org.eclipse.eclemma.ui.localJavaShortcut.coverage"
"実行/デバッグ","Java アプレットのデバッグ","Alt+Shift+D, A","ウィンドウ","org.eclipse.jdt.debug.ui.javaAppletShortcut.debug"
"実行/デバッグ","Java アプレットの実行","Alt+Shift+X, A","ウィンドウ","org.eclipse.jdt.debug.ui.javaAppletShortcut.run"
"実行/デバッグ","Java ブレークポイント・プロパティー","Alt+Enter","ブレークポイント・ビュー内","org.eclipse.jdt.debug.ui.breakpoint.properties"
"実行/デバッグ","Maven ビルドの実行","Alt+Shift+X, M","ウィンドウ","org.eclipse.m2e.core.pomFileAction.run"
"実行/デバッグ","RAP JUnit テストをカバレッジ","Alt+Shift+E, R","ウィンドウ","org.eclipse.eclemma.ui.junitRAPShortcut.coverage"
"実行/デバッグ","SWTBot テストをカバレッジ","Alt+Shift+E, S","ウィンドウ","org.eclipse.eclemma.ui.swtBotJunitShortcut.coverage"
"実行/デバッグ","Scala アプリケーションをカバレッジ","Alt+Shift+E, L","ウィンドウ","org.eclipse.eclemma.ui.scalaShortcut.coverage"
"実行/デバッグ","Spring Boot アプリのデバッグ","Alt+Shift+D, B","ウィンドウ","org.springsource.ide.eclipse.boot.BootLaunchShortcut.debug"
"実行/デバッグ","Spring Boot アプリの実行","Alt+Shift+X, B","ウィンドウ","org.springsource.ide.eclipse.boot.BootLaunchShortcut.run"
"実行/デバッグ","TestNG スイートをカバレッジ","Alt+Shift+E, G","ウィンドウ","org.eclipse.eclemma.ui.testNgSuiteShortcut.coverage"
"実行/デバッグ","TestNG テストをカバレッジ","Alt+Shift+E, N","ウィンドウ","org.eclipse.eclemma.ui.testNgShortcut.coverage"
"実行/デバッグ","すべてのインスタンス","Ctrl+Shift+N","ウィンドウ","org.eclipse.jdt.debug.ui.commands.AllInstances"
"実行/デバッグ","すべてのブレークポイントをスキップ","Ctrl+Alt+B","ウィンドウ","org.eclipse.debug.ui.commands.SkipAllBreakpoints"
"実行/デバッグ","アドレスにジャンプ","Ctrl+G","テーブル・メモリー・レンダリング内","org.eclipse.debug.ui.command.gotoaddress"
"実行/デバッグ","インスペクション","Ctrl+Shift+I","ダイアログまたはウィンドウ","org.eclipse.jdt.debug.ui.commands.Inspect"
"実行/デバッグ","カバレッジ","Ctrl+Shift+F11","ウィンドウ","org.eclipse.eclemma.ui.commands.CoverageLast"
"実行/デバッグ","サーバーでデバッグ","Alt+Shift+D, R","ウィンドウ","org.eclipse.wst.server.launchShortcut.debug"
"実行/デバッグ","サーバーで実行","Alt+Shift+X, R","ウィンドウ","org.eclipse.wst.server.launchShortcut.run"
"実行/デバッグ","ステップ・イン","F11","デバッグ","org.eclipse.debug.ui.commands.StepInto"
"実行/デバッグ","ステップ・オーバー","F10","デバッグ","org.eclipse.debug.ui.commands.StepOver"
"実行/デバッグ","ステップ・フィルターの使用","Shift+F5","ウィンドウ","org.eclipse.debug.ui.commands.ToggleStepFilters"
"実行/デバッグ","ステップ・リターン","Shift+F11","デバッグ","org.eclipse.debug.ui.commands.StepReturn"
"実行/デバッグ","デバッグ","F11","ウィンドウ","org.eclipse.debug.ui.commands.DebugLast"
"実行/デバッグ","トリガー再起動","Ctrl+R","I/O コンソール","org.springframework.ide.eclipse.boot.restart.commands.restart"
"実行/デバッグ","ブレークポイントの切り替え","Ctrl+Shift+B","ウィンドウ","org.eclipse.debug.ui.commands.ToggleBreakpoint"
"実行/デバッグ","メモリー・ブロックの追加","Ctrl+Alt+M","メモリー・ビュー内","org.eclipse.debug.ui.commands.addMemoryMonitor"
"実行/デバッグ","メモリー・モニター・ペインを切り替え","Ctrl+T","メモリー・ビュー内","org.eclipse.debug.ui.commands.toggleMemoryMonitorsPane"
"実行/デバッグ","レンダリングを閉じる","Ctrl+W","メモリー・ビュー内","org.eclipse.debug.ui.commands.closeRendering"
"実行/デバッグ","再開","F5","デバッグ","org.eclipse.debug.ui.commands.Resume"
"実行/デバッグ","前のメモリー・ページ","Ctrl+Shift+,","テーブル・メモリー・レンダリング内","org.eclipse.debug.ui.command.prevpage"
"実行/デバッグ","実行","Ctrl+F11","ウィンドウ","org.eclipse.debug.ui.commands.RunLast"
"実行/デバッグ","実行","Ctrl+U","ウィンドウ","org.eclipse.jdt.debug.ui.commands.Execute"
"実行/デバッグ","強制リターン","Alt+Shift+F","ウィンドウ","org.eclipse.jdt.debug.ui.commands.ForceReturn"
"実行/デバッグ","指定行まで実行","Ctrl+R","デバッグ","org.eclipse.debug.ui.commands.RunToLine"
"実行/デバッグ","新規レンダリング","Ctrl+N","メモリー・ビュー内","org.eclipse.debug.ui.commands.newRendering"
"実行/デバッグ","次のメモリー・ページ","Ctrl+Shift+.","テーブル・メモリー・レンダリング内","org.eclipse.debug.ui.command.nextpage"
"実行/デバッグ","次のメモリー・モニター","Ctrl+Alt+N","メモリー・ビュー内","org.eclipse.debug.ui.commands.nextMemoryBlock"
"実行/デバッグ","終了","Ctrl+F2","デバッグ","org.eclipse.debug.ui.commands.Terminate"
"実行/デバッグ","表示","Ctrl+Shift+D","ダイアログまたはウィンドウ","org.eclipse.jdt.debug.ui.commands.Display"
"実行/デバッグ","選択項目にステップ・イン","Ctrl+F5","デバッグ","org.eclipse.jdt.debug.ui.commands.StepIntoSelection"
"検索","ファイル・クイック・メニュー内での出現箇所を表示","Ctrl+Shift+U","JavaScript ビュー","org.eclipse.wst.jsdt.ui.edit.text.java.search.occurrences.in.file.quickMenu"
"検索","ファイル・クイック・メニュー内での出現箇所を表示","Ctrl+Shift+U","ウィンドウ","org.eclipse.jdt.ui.edit.text.java.search.occurrences.in.file.quickMenu"
"検索","ワークスペース内でテキストを検索","Ctrl+Alt+G","ウィンドウ","org.eclipse.search.ui.performTextSearchWorkspace"
"検索","ワークスペース内の参照","Ctrl+Shift+G","JavaScript ビュー","org.eclipse.wst.jsdt.ui.edit.text.java.search.references.in.workspace"
"検索","ワークスペース内の参照","Ctrl+Shift+G","ウィンドウ","org.eclipse.jdt.ui.edit.text.java.search.references.in.workspace"
"検索","ワークスペース内の宣言","Ctrl+G","JavaScript ビュー","org.eclipse.wst.jsdt.ui.edit.text.java.search.declarations.in.workspace"
"検索","ワークスペース内の宣言","Ctrl+G","ウィンドウ","org.eclipse.jdt.ui.edit.text.java.search.declarations.in.workspace"
"検索","検索ダイアログを開く","Ctrl+H","ウィンドウ","org.eclipse.search.ui.openSearchDialog"
"編集","Maven プラグインの追加","Ctrl+Shift+P","XML ソースの編集","org.eclipse.m2e.core.ui.command.addPlugin"
"編集","Maven 依存関係の追加","Ctrl+Shift+D","XML ソースの編集","org.eclipse.m2e.core.ui.command.addDependency"
"編集","すべて選択","Ctrl+A","ダイアログまたはウィンドウ","org.eclipse.ui.edit.selectAll"
"編集","やり直し","Ctrl+Y","ダイアログまたはウィンドウ","org.eclipse.ui.edit.redo"
"編集","アクティブ要素のフォーマット","Ctrl+I","構造化テキスト・エディターで編集","org.eclipse.wst.sse.ui.format.active.elements"
"編集","インポートの追加(&P)","Ctrl+Shift+M","JSP ソースの編集","org.eclipse.jst.jsp.ui.add.imports"
"編集","エンクロージング要素の選択","Alt+Shift+Up","Java ソースの編集","org.eclipse.jdt.ui.edit.text.java.select.enclosing"
"編集","エンクロージング要素の選択","Alt+Shift+Up","構造化テキスト・エディターで編集","org.eclipse.wst.sse.ui.structure.select.enclosing"
"編集","クイック Diff 切り替え","Ctrl+Shift+Q","テキストの編集","org.eclipse.quickdiff.toggle"
"編集","クイック・フィックス","Ctrl+.","ダイアログまたはウィンドウ","org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals"
"編集","コピー","Ctrl+C","ダイアログまたはウィンドウ","org.eclipse.ui.edit.copy"
"編集","コピー","Ctrl+Insert","ダイアログまたはウィンドウ","org.eclipse.ui.edit.copy"
"編集","コメントの切り替え","Ctrl+Shift+C","構造化テキスト・エディターで編集","org.eclipse.wst.sse.ui.toggle.comment"
"編集","コンテキスト情報","Ctrl+Shift+Space","ダイアログまたはウィンドウ","org.eclipse.ui.edit.text.contentAssist.contextInformation"
"編集","コンテンツ・アシスト","Ctrl+Space","ダイアログまたはウィンドウ","org.eclipse.ui.edit.text.contentAssist.proposals"
"編集","パターンの選択","Ctrl+Shift++","zip ファイルの編集中","zipeditor.command.selectPattern"
"編集","ファイル内での出現箇所","Ctrl+Shift+A","構造化テキスト・エディターで編集","org.eclipse.wst.sse.ui.search.find.occurrences"
"編集","フォーマット","Ctrl+Shift+F","構造化テキスト・エディターで編集","org.eclipse.wst.sse.ui.format.document"
"編集","ブロック・コメントの追加","Ctrl+Shift+/","構造化テキスト・エディターで編集","org.eclipse.wst.sse.ui.add.block.comment"
"編集","ブロック・コメントの除去","Ctrl+Shift+\","構造化テキスト・エディターで編集","org.eclipse.wst.sse.ui.remove.block.comment"
"編集","ブロック選択の切り替え","Alt+Shift+A","テキストの編集","org.eclipse.ui.edit.text.toggleBlockSelectionMode"
"編集","ワード・ラップの切り替え","Alt+Shift+Y","テキストの編集","org.eclipse.ui.edit.text.toggleWordWrap"
"編集","一致するタグ","Ctrl+Shift+>","構造化テキスト・エディターで編集","org.eclipse.wst.xml.ui.gotoMatchingTag"
"編集","元に戻す","Ctrl+Z","ダイアログまたはウィンドウ","org.eclipse.ui.edit.undo"
"編集","切り取り","Ctrl+X","ダイアログまたはウィンドウ","org.eclipse.ui.edit.cut"
"編集","切り取り","Shift+Delete","ダイアログまたはウィンドウ","org.eclipse.ui.edit.cut"
"編集","削除","Delete","ウィンドウ","org.eclipse.ui.edit.delete"
"編集","前の兄弟","Ctrl+Shift+Up","構造化テキスト・エディターで編集","org.eclipse.wst.xml.ui.previousSibling"
"編集","前の要素を選択","Alt+Shift+Left","Java ソースの編集","org.eclipse.jdt.ui.edit.text.java.select.previous"
"編集","前の要素を選択","Alt+Shift+Left","構造化テキスト・エディターで編集","org.eclipse.wst.sse.ui.structure.select.previous"
"編集","前を検索","Ctrl+Shift+K","ウィンドウ","org.eclipse.ui.edit.findPrevious"
"編集","前回の選択を復元","Alt+Shift+Down","Java ソースの編集","org.eclipse.jdt.ui.edit.text.java.select.last"
"編集","前回の選択を復元","Alt+Shift+Down","構造化テキスト・エディターで編集","org.eclipse.wst.sse.ui.structure.select.last"
"編集","単語補完","Alt+/","テキストの編集","org.eclipse.ui.edit.text.hippieCompletion"
"編集","名前変更","Ctrl+R, Ctrl+R","JSP ソースの編集","org.eclipse.jst.jsp.ui.refactor.rename"
"編集","挿入モードを切り替えます","Ctrl+Shift+Insert","テキストの編集","org.eclipse.ui.edit.text.toggleInsertMode"
"編集","検索と置換","Ctrl+F","ウィンドウ","org.eclipse.ui.edit.findReplace"
"編集","次の兄弟","Ctrl+Shift+Down","構造化テキスト・エディターで編集","org.eclipse.wst.xml.ui.nextSibling"
"編集","次の要素を選択","Alt+Shift+Right","Java ソースの編集","org.eclipse.jdt.ui.edit.text.java.select.next"
"編集","次の要素を選択","Alt+Shift+Right","構造化テキスト・エディターで編集","org.eclipse.wst.sse.ui.structure.select.next"
"編集","次を検索","Ctrl+K","ウィンドウ","org.eclipse.ui.edit.findNext"
"編集","移動","Alt+Shift+V","JSP ソースの編集","org.eclipse.jst.jsp.ui.refactor.move"
"編集","貼り付け","Ctrl+V","ダイアログまたはウィンドウ","org.eclipse.ui.edit.paste"
"編集","貼り付け","Shift+Insert","ダイアログまたはウィンドウ","org.eclipse.ui.edit.paste"
"編集","選択の反転","Ctrl+Shift+*","zip ファイルの編集中","zipeditor.command.reverseSelection"
"編集","選択を開く","F3","構造化テキスト・エディターで編集","org.eclipse.wst.sse.ui.open.file.from.source"
"言語サーバー","エンクロージング要素","Alt+Shift+Up","汎用コード・エディター内","org.eclipse.lsp4e.selectionRange.up"
"言語サーバー","クイック型階層","Ctrl+T","テキストの編集","org.eclipse.lsp4e.typeHierarchy"
"言語サーバー","ファイル内のシンボルにジャンプ","Ctrl+O","テキストの編集","org.eclipse.lsp4e.symbolinfile"
"言語サーバー","フォーマット","Ctrl+Shift+F","テキストの編集","org.eclipse.lsp4e.format"
"言語サーバー","呼び出し階層を開く","Ctrl+Alt+H","汎用コード・エディター内","org.eclipse.lsp4e.openCallHierarchy"
"言語サーバー","型階層を開く","F4","汎用コード・エディター内","org.eclipse.lsp4e.openTypeHierarchy"
"言語サーバー","最後の選択範囲に復元","Alt+Shift+Down","汎用コード・エディター内","org.eclipse.lsp4e.selectionRange.down"
